,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,id_country
0,1,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,1404724,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,audio_features,5Z9KJZvQzH6PFmb8SNkxuk,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/tracks/5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/audio-analysis/5Z9KJZvQzH6PFmb8SNkxuk,212353,4,USA
1,2,STAY (with Justin Bieber),The Kid LAROI,1191933,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,141806,4,USA
2,3,Knife Talk (with 21 Savage ft. Project Pat),Drake,1153413,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,audio_features,2BcMwX1MPV6ZHP4tUT9uq6,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,242966,4,USA
3,4,Way 2 Sexy (with Future & Young Thug),Drake,1101014,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,audio_features,0k1WUmIRnG3xU6fvvDVfRG,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG,257605,4,USA
4,5,Heat Waves,Glass Animals,997719,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4,USA
5,6,Need To Know,Doja Cat,803975,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,audio_features,3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi,210560,4,USA
6,7,good 4 u,Olivia Rodrigo,784995,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4,USA
7,8,Fair Trade (with Travis Scott),Drake,739385,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,audio_features,40iJIUlhi6renaREYGeIDS,spotify:track:40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,291175,4,USA
8,9,family ties (with Kendrick Lamar),Baby Keem,727731,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN,0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,audio_features,3QFInJAm9eyaho5vBzxInN,spotify:track:3QFInJAm9eyaho5vBzxInN,https://api.spotify.com/v1/tracks/3QFInJAm9eyaho5vBzxInN,https://api.spotify.com/v1/audio-analysis/3QFInJAm9eyaho5vBzxInN,252262,4,USA
9,10,THATS WHAT I WANT,Lil Nas X,716299,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4,USA
10,11,Meet Me At Our Spot,THE ANXIETY,703658,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,audio_features,07MDkzWARZaLEdKxo6yArG,spotify:track:07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,162680,4,USA
11,12,Kiss Me More (feat. SZA),Doja Cat,701960,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,audio_features,3DarAbFujv6eYNliUTyqtz,spotify:track:3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,https://api.spotify.com/v1/audio-analysis/3DarAbFujv6eYNliUTyqtz,208667,4,USA
