"Position,""Track Name"",Artist,Streams,URL"
"1,""INDUSTRY BABY (feat. Jack Harlow)"",""Lil Nas X"",1404724,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk"
"2,""STAY (with Justin Bieber)"",""The Kid LAROI"",1191933,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX"
"3,""Knife Talk (with 21 Savage ft. Project Pat)"",Drake,1153413,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6"
"4,""Way 2 Sexy (with Future & Young Thug)"",Drake,1101014,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG"
"5,""Heat Waves"",""Glass Animals"",997719,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx"
"6,""Need To Know"",""Doja Cat"",803975,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi"
"7,""good 4 u"",""Olivia Rodrigo"",784995,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG"
"8,""Fair Trade (with Travis Scott)"",Drake,739385,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS"
"9,""family ties (with Kendrick Lamar)"",""Baby Keem"",727731,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN"
"10,""THATS WHAT I WANT"",""Lil Nas X"",716299,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO"
"11,""Meet Me At Our Spot"",""THE ANXIETY"",703658,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG"
"12,""Kiss Me More (feat. SZA)"",""Doja Cat"",701960,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz"
"13,""MONTERO (Call Me By Your Name)"",""Lil Nas X"",669454,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W"
"14,Woman,""Doja Cat"",639556,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4"
"15,""Happier Than Ever"",""Billie Eilish"",614264,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8"
"16,2055,""Sleepy Hallow"",587116,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo"
"17,""Bad Habits"",""Ed Sheeran"",570890,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE"
"18,""Girls Want Girls (with Lil Baby)"",Drake,570655,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3"
"19,Shivers,""Ed Sheeran"",566817,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r"
"20,traitor,""Olivia Rodrigo"",554829,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT"
"21,""Dark Red"",""Steve Lacy"",517102,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk"
22,Pepas,Farruko,496867,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
"23,""Jugaste y Sufrí"",""Eslabon Armado"",494652,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4"
24,Beggin',Måneskin,493792,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
"25,""Levitating (feat. DaBaby)"",""Dua Lipa"",490969,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF"
"26,""Sharing Locations (feat. Lil Baby & Lil Durk)"",""Meek Mill"",488328,https://open.spotify.com/track/3T9BKc4kB7ukeNQrCqv6ZV"
"27,Hurricane,""Kanye West"",482040,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF"
"28,""Get Into It (Yuh)"",""Doja Cat"",480155,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb"
"29,""Fancy Like"",""Walker Hayes"",474009,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE"
"30,""Life Goes On"",""Oliver Tree"",463614,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC"
"31,""My Universe"",Coldplay,458293,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM"
"32,""Sweater Weather"",""The Neighbourhood"",458251,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6"
"33,""love nwantiti (ah ah ah)"",CKay,449002,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g"
"34,""Working for the Knife"",Mitski,447850,https://open.spotify.com/track/46OaeacE8RjnE49MB5B2Lt"
"35,RAPSTAR,""Polo G"",444296,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg"
"36,""...And to Those I Love, Thanks for Sticking Around"",$uicideboy$,441747,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm"
"37,""Last One Standing (feat. Polo G, Mozzy & Eminem)"",""Skylar Grey"",441001,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ"
