,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",11527935,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
2,"Way 2 Sexy (with Future & Young Thug)",Drake,9596386,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
3,"STAY (with Justin Bieber)","The Kid LAROI",9530987,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,8882807,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
5,"Heat Waves","Glass Animals",7634481,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"THATS WHAT I WANT","Lil Nas X",6236849,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
7,"good 4 u","Olivia Rodrigo",6010985,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
8,"Fair Trade (with Travis Scott)",Drake,5938632,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
9,"family ties (with Kendrick Lamar)","Baby Keem",5634545,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
10,"Need To Know","Doja Cat",5581877,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
11,"MONTERO (Call Me By Your Name)","Lil Nas X",5565971,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
12,"Meet Me At Our Spot","THE ANXIETY",5255801,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
13,"Kiss Me More (feat. SZA)","Doja Cat",5224423,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
14,Woman,"Doja Cat",5091738,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
15,"Girls Want Girls (with Lil Baby)",Drake,4842532,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
16,Hurricane,"Kanye West",4728798,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
