title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
STAY (with Justin Bieber),The Kid LAROI,5PjdY0CKGZdEuoNab3yDmX,7035552,global,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0,4.0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk,6053372,global,0.741,0.691,10.0,-7.395,0.0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353.0,4.0
Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,4353995,global,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
Bad Habits,Ed Sheeran,6PQ88X9TkUIAUIZJHW2upE,3818766,global,0.808,0.897,11.0,-3.712,0.0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041.0,4.0
Pepas,Farruko,2B4GHvToeLTOBB4QLzW3Ni,3636135,global,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,4.0
My Universe,"Coldplay, BTS",3FeVmId7tL5YN8B7R3imoM,3633151,global,0.588,0.701,9.0,-6.39,1.0,0.0402,0.00813,0.0,0.2,0.443,104.988,228000.0,4.0
Woman,Doja Cat,6Uj1ctrBOjOas8xZXGqKk4,3630898,global,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627.0,4.0
Shivers,Ed Sheeran,75MNhvTCCKsST3YqqUiU9r,3534484,global,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
love nwantiti (ah ah ah),CKay,2Xr1dTzJee307rmrkt8c0g,3249486,global,0.727,0.739,8.0,-3.805,1.0,0.0411,0.365,0.00137,0.161,0.533,93.005,145800.0,4.0
good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,3176648,global,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,4.0
MONEY,LISA,7hU3IHwjX150XLoTVmjD0q,3169543,global,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228.0,4.0
